task,start_s,duration_s,assigned_antenna_stage3
0,18651,2745,0
1,50286,2056,3
2,2974,2942,3
3,8854,2778,0
4,52793,2565,1
5,21286,2327,0
6,26306,2465,2
7,30669,2727,1
8,23959,2551,3
9,16723,2495,2
10,11306,2495,3
11,28594,2334,3
12,32864,2452,3
13,43954,2199,3
14,53339,1619,2
15,41967,2097,3
16,43730,2389,2
17,41849,1991,2
18,56617,1041,0
19,46987,2006,0
20,48128,2708,1
21,26400,2304,3
22,54848,1628,2
23,39336,2121,0
24,39754,2205,2
25,18854,2701,3
26,0,3126,2
27,32774,2335,0
28,14175,2354,0
29,35976,2878,1
30,43517,1877,0
31,55403,1324,0
32,13691,2754,3
33,30408,2476,0
34,40563,2838,1
35,33286,2800,1
36,50726,2177,1
37,3016,2868,2
38,0,3084,3
39,28661,2529,2
40,48883,1364,0
41,33234,2392,2
42,8651,2713,2
43,21488,2661,2
44,46043,1947,3
45,30818,2156,3
46,55248,1260,1
47,11254,2999,2
48,8780,2636,3
49,13622,2921,1
50,43291,2553,1
51,16433,2820,1
52,3668,3487,1
53,24039,2377,2
54,54084,1677,3
55,0,3193,0
56,26015,2351,0
57,28256,2262,0
58,0,3778,1
59,14143,2690,2
60,19143,2962,1
61,37382,2249,3
62,11522,2763,0
63,7045,3278,1
64,21995,3004,1
65,41347,2280,0
66,31080,2264,2
67,37776,2088,2
68,45284,1813,0
69,47987,1890,2
70,5806,3084,3
71,34999,2216,0
72,16419,2342,0
73,35206,2286,3
74,19108,2490,2
75,16335,2629,3
76,24889,3291,1
77,56772,1735,1
78,35516,2370,2
79,3083,3144,0
80,51880,1800,0
81,53570,1867,0
82,38744,1929,1
83,45734,2504,1
84,5774,2987,2
85,51265,2184,2
86,21445,2624,3
87,49767,1608,2
88,55651,2152,3
89,56521,1327,2
90,52232,1962,3
91,23503,2622,0
92,50137,1853,0
93,6117,2847,0
94,39521,2556,3
95,47880,2516,3
96,10213,3519,1
97,28070,2709,1
98,37105,2341,0
99,46009,2088,2
